cand_id,state_abb,district_number,election_year,republican,contestant_id,ideology_score,primary_vote
cand_198,FL,8,2000,1,contestant_2,0.10206088423728943,0.4806337356567383
cand_199,FL,8,2008,0,contestant_1,-0.21003666520118713,0.4846806824207306
cand_200,FL,8,2008,0,contestant_2,-0.20524060726165771,0.2752663493156433
cand_201,FL,9,1982,1,contestant_1,0.07626119256019592,0.5386888980865479
cand_202,FL,9,1982,1,contestant_2,0.18197904527187347,0.46131113171577454
cand_203,FL,11,1990,1,contestant_1,0.41726255416870117,0.5668370723724365
cand_204,FL,11,1990,1,contestant_2,0.15417832136154175,0.4331629276275635
cand_205,FL,11,1996,0,contestant_1,-0.0647415965795517,0.5617942810058594
cand_206,FL,11,1996,0,contestant_2,-0.1935582160949707,0.4382057189941406
cand_207,FL,11,2006,0,contestant_1,-0.1233857199549675,0.5395756363868713
cand_208,FL,11,2006,0,contestant_2,-0.10319436341524124,0.3411657512187958
cand_209,FL,13,1982,1,contestant_1,0.1631142944097519,0.5821740627288818
cand_210,FL,13,1982,1,contestant_2,0.12924040853977203,0.41782596707344055
cand_211,FL,13,1988,1,contestant_1,0.13710369169712067,0.717444121837616
cand_212,FL,13,1988,1,contestant_2,0.10462852567434311,0.28255584836006165
cand_213,FL,13,2006,0,contestant_1,-0.30040526390075684,0.6178802847862244
cand_214,FL,13,2006,0,contestant_2,-0.30735933780670166,0.382119745016098
cand_215,FL,13,2006,1,contestant_1,0.21000830829143524,0.3233375549316406
cand_216,FL,13,2006,1,contestant_2,0.24926286935806274,0.2401304543018341
cand_217,FL,14,1988,0,contestant_1,-0.13624441623687744,0.5853945016860962
cand_218,FL,14,1988,0,contestant_2,-0.3233703374862671,0.4146054983139038
cand_219,FL,14,2004,1,contestant_1,0.1958577185869217,0.3581922650337219
cand_220,FL,14,2004,1,contestant_2,0.09222197532653809,0.32228973507881165
cand_221,FL,15,1992,1,contestant_1,0.41726255416870117,0.5401055812835693
cand_222,FL,15,1992,1,contestant_2,0.10382798314094543,0.45989441871643066
cand_223,FL,16,2008,1,contestant_1,0.18946270644664764,0.3673436641693115
cand_224,FL,16,2008,1,contestant_2,0.1289599984884262,0.34934762120246887
cand_225,FL,17,2010,0,contestant_1,-0.1659318208694458,0.3447180986404419
cand_226,FL,17,2010,0,contestant_2,0.013120681047439575,0.16148993372917175
cand_227,FL,19,1996,0,contestant_1,-0.12229687720537186,0.6507399082183838
cand_228,FL,19,1996,0,contestant_2,-0.2285759598016739,0.3492601215839386
cand_229,FL,20,1992,0,contestant_1,-0.08125847578048706,0.6255548000335693
cand_230,FL,20,1992,0,contestant_2,-0.17102335393428802,0.37444522976875305
cand_231,FL,23,1992,0,contestant_1,-0.1579647809267044,0.5750130414962769
cand_232,FL,23,1992,0,contestant_2,-0.2265770137310028,0.42498695850372314
cand_233,FL,24,2010,1,contestant_1,0.17845596373081207,0.30121102929115295
cand_234,FL,24,2010,1,contestant_2,0.28780806064605713,0.2767484188079834
cand_235,FL,25,2010,0,contestant_1,-0.2620067596435547,0.759278416633606
